cantidadterneros,Fecha,cantidadnovilloengorda,cantidadnovillogordo,precioterneros,precionovilloengorda,precionovillogordo,1. Dólar observado,Dólar ajustado a abr-2026,SeriesTiempoMaiz,Osorno
6923.0,2008-01-01,2707.0,2273.0,813.1,664.77,722.4,480.896363636364,"991,73",451.98,24.95
4194.0,2008-02-01,2092.0,2165.0,671.68,660.35,693.59,467.217142857143,"959,68",471.5,24.464285714285715
6732.0,2008-03-01,3259.0,2630.0,709.38,710.03,793.58,442.942,"902,59",490.83,58.32857142857143
9944.0,2008-04-01,5458.0,2497.0,716.03,737.31,803.68,446.433636363636,"906,08",516.74,67.02142857142857
8330.0,2008-05-01,3456.0,2663.0,742.71,753.15,885.83,470.1,"942,81",504.92,106.12142857142858
6649.0,2008-06-01,2522.0,1920.0,747.63,761.21,923.95,493.612380952381,"975,33",591.41,154.73846153846154
6765.0,2008-07-01,1791.0,1639.0,922.74,873.6,984.95,502.241363636364,"981,58",536.69,162.1769230769231
7251.0,2008-08-01,2266.0,1539.0,921.14,906.22,1084.63,516.702,"1.000,83",468.4,197.24615384615385
6321.0,2008-09-01,1278.0,1159.0,919.33,899.4,1070.95,530.17,"1.015,75",461.01,103.4
11038.0,2008-10-01,1429.0,1320.0,908.25,825.67,943.03,618.394545454545,"1.174,21",360.51,56.30769230769231
8780.0,2008-11-01,1375.0,1345.0,798.52,715.91,786.82,651.5055,"1.238,33",321.8,50.15384615384615
7555.0,2008-12-01,1475.0,1660.0,727.45,634.25,682.7,649.3165,"1.249,16",312.49,31.60769230769231
4449.0,2009-01-01,1599.0,1752.0,645.7,612.31,648.99,623.007619047619,"1.208,21",342.98,24.95
4213.0,2009-02-01,2481.0,1829.0,713.88,690.67,794.21,605.998,"1.179,94",326.09,24.464285714285715
7569.0,2009-03-01,3610.0,1741.0,717.23,721.4,811.79,592.931363636364,"1.149,89",331.79,58.32857142857143
8150.0,2009-04-01,3517.0,1345.0,786.2,785.16,837.22,583.175714285714,"1.133,25",339.08,67.02142857142857
7309.0,2009-05-01,3209.0,1384.0,783.62,770.57,807.1,565.717894736842,"1.102,63",362.13,106.12142857142858
6040.0,2009-06-01,1972.0,1266.0,802.81,745.35,843.14,553.08,"1.074,77",362.67,154.73846153846154
5238.0,2009-07-01,1850.0,928.0,826.57,782.48,844.08,540.420454545455,"1.054,39",311.53,162.1769230769231
6162.0,2009-08-01,1647.0,955.0,866.97,812.09,855.94,546.884285714286,"1.071,28",320.71,197.24615384615385
5967.0,2009-09-01,1441.0,744.0,964.57,852.87,863.11,549.070952380952,"1.064,92",318.76,103.4
9987.0,2009-10-01,1947.0,922.0,907.56,786.96,842.1,545.832857142857,"1.058,63",348.65,56.30769230769231
7967.0,2009-11-01,1568.0,1348.0,928.16,823.04,839.97,507.781428571429,"989,78",363.82,50.15384615384615
5588.0,2009-12-01,1466.0,1483.0,963.62,811.11,818.37,501.45,"980,39",357.42,31.60769230769231
6176.0,2010-01-01,1929.0,1879.0,1050.7,902.42,871.81,500.6625,"973,97",355.0,24.95
6444.0,2010-02-01,2943.0,2187.0,1747.04,1513.56,1492.49,532.557,"1.032,93",328.87,24.464285714285715
8376.0,2010-03-01,2501.0,1457.0,1695.69,1462.17,1370.61,523.162608695652,"1.013,68",322.93,58.32857142857143
8105.0,2010-04-01,3814.0,1685.0,1631.77,1446.78,1350.1,520.624285714286,"1.003,74",317.08,67.02142857142857
7304.0,2010-05-01,3051.0,1834.0,1645.35,1377.27,1368.48,533.2065,"1.023,92",328.62,106.12142857142858
5803.0,2010-06-01,2599.0,1515.0,1770.98,1447.16,1461.88,536.668095238095,"1.030,57",309.24,154.73846153846154
5813.0,2010-07-01,1464.0,1456.0,2137.15,1658.07,1669.37,531.721428571429,"1.014,97",344.7,162.1769230769231
6755.0,2010-08-01,1965.0,1357.0,2112.51,1744.08,1729.87,509.324090909091,"973,19",383.17,197.24615384615385
4463.0,2010-09-01,854.0,1075.0,2174.36,1734.14,1736.42,493.933,"940,02",444.34,103.4
8371.0,2010-10-01,1681.0,972.0,2310.32,1819.28,1743.43,484.0415,"920,28",482.06,56.30769230769231
8382.0,2010-11-01,1455.0,1479.0,2419.27,1925.02,1962.82,482.316666666667,"916,09",475.99,50.15384615384615
6580.0,2010-12-01,1311.0,1699.0,2331.52,1790.16,1787.0,474.778095238095,"900,87",490.78,31.60769230769231
5203.0,2011-01-01,2003.0,1794.0,2378.38,1976.55,1721.06,489.440952380952,"925,91",515.66,24.95
6611.0,2011-02-01,2155.0,1904.0,2348.84,1939.23,1763.6,475.691,"898,10",566.61,24.464285714285715
8712.0,2011-03-01,3397.0,2903.0,2299.28,1909.56,1794.54,479.652173913044,"898,39",560.54,58.32857142857143
8939.0,2011-04-01,3627.0,1731.0,2294.73,1854.28,1736.57,471.32,"880,15",609.17,67.02142857142857
8560.0,2011-05-01,2807.0,1712.0,2235.89,1774.82,1714.32,467.728636363636,"869,96",586.46,106.12142857142858
5840.0,2011-06-01,1854.0,1731.0,2250.1,1725.52,1738.16,469.411904761905,"871,34",584.19,154.73846153846154
5869.0,2011-07-01,1519.0,1435.0,2325.66,1841.31,1836.98,462.937142857143,"858,48",566.35,162.1769230769231
6421.0,2011-08-01,1720.0,1659.0,2429.85,2004.95,1973.33,466.790454545455,"863,89",582.86,197.24615384615385
6157.0,2011-09-01,941.0,980.0,2511.5,2010.06,2026.86,483.69380952381,"890,71",555.95,103.4
9167.0,2011-10-01,1160.0,1091.0,2463.75,1984.52,2018.26,511.744210526316,"937,68",513.71,56.30769230769231
9197.0,2011-11-01,1530.0,1529.0,2197.44,1812.9,1633.8,508.437619047619,"928,84",509.78,50.15384615384615
6882.0,2011-12-01,1186.0,1305.0,2032.97,1666.71,1694.57,517.171904761905,"939,16",480.02,31.60769230769231
5310.0,2012-01-01,1593.0,1663.0,1885.69,1633.89,1618.44,501.339545454545,"909,50",501.22,24.95
6843.0,2012-02-01,2348.0,2555.0,2069.74,1786.77,1845.61,481.488571428571,"870,01",515.86,24.464285714285715
10463.0,2012-03-01,4656.0,2462.0,2112.85,1811.87,1851.54,485.395454545454,"875,32",514.71,58.32857142857143
10464.0,2012-04-01,3984.0,1716.0,2022.04,1761.08,1791.24,486.001,"875,53",502.54,67.02142857142857
8616.0,2012-05-01,2966.0,1982.0,1897.26,1589.52,1660.23,497.088095238095,"895,51",499.46,106.12142857142858
6011.0,2012-06-01,2144.0,1267.0,1914.36,1548.24,1680.91,505.628095238095,"913,64",494.87,154.73846153846154
4957.0,2012-07-01,1391.0,1114.0,1933.43,1653.72,1736.42,491.9345,"888,88",610.09,162.1769230769231
